num;question;a;b;c;d;solution;area_code;area;theme;image;Tags\
196;Warum nennt man die Zeit im Herbst 1989 in der DDR \'84Die Wende\'93? In dieser Zeit ver\'e4nderte sich die DDR politisch ...;von einer Diktatur zur Demokratie.;von einer liberalen Marktwirtschaft zum Sozialismus.;von einer Monarchie zur Sozialdemokratie.;von einem religi\'f6sen Staat zu einem kommunistischen Staat.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date\
197;Welches heutige deutsche Bundesland geh\'f6rte fr\'fcher zum Gebiet der DDR?;Th\'fcringen;Hessen;Bayern;Bremen;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
198;Welches heutige deutsche Bundesland geh\'f6rte fr\'fcher zum Gebiet der DDR?;Bayern;Niedersachsen;Sachsen;Baden-W\'fcrttemberg;c;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
199;Mit der Abk\'fcrzung \'84Stasi\'93 meinte man in der DDR ...;das Parlament.;das Ministerium f\'fcr Staatssicherheit.;eine regierende Partei.;das Ministerium f\'fcr Volksbildung.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult\
200;Welches heutige deutsche Bundesland geh\'f6rte fr\'fcher zum Gebiet der DDR?;Hessen;Schleswig-Holstein;Mecklenburg-Vorpommern;Saarland;c;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
201;Welche der folgenden Auflistungen enth\'e4lt nur Bundesl\'e4nder, die zum Gebiet der fr\'fcheren DDR geh\'f6rten?;Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg;Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Th\'fcringen;Bayern, Baden-W\'fcrttemberg, Rheinland-Pfalz, Th\'fcringen, Sachsen;Sachsen, Th\'fcringen, Hessen, Niedersachsen, Brandenburg;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
202;Zu wem geh\'f6rte die DDR im \'84Kalten Krieg\'93?;zu den Westm\'e4chten;zum Warschauer Pakt;zur NATO;zu den blockfreien Staaten;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
203;Wie hie\'df das Wirtschaftssystem der DDR?;Marktwirtschaft;Planwirtschaft;Angebot und Nachfrage;Kapitalismus;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult\
204;Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?;Die Bundesrepublik Deutschland hat die DDR besetzt.;Die heutigen f\'fcnf \'f6stlichen Bundesl\'e4nder sind der Bundesrepublik Deutschland beigetreten.;Die westlichen Bundesl\'e4nder sind der DDR beigetreten.;Die DDR hat die Bundesrepublik Deutschland besetzt.;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
205;Mit dem Beitritt der DDR zur Bundesrepublik Deutschland geh\'f6ren die neuen Bundesl\'e4nder nun auch ...;zur Europ\'e4ischen Union.;zum Warschauer Pakt.;zur OPEC.;zur Europ\'e4ischen Verteidigungsgemeinschaft.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;\
206;Was bedeutete im Jahr 1989 in Deutschland das Wort \'84Montagsdemonstration\'93?;In der Bundesrepublik waren Demonstrationen nur am Montag erlaubt.;Montags waren Demonstrationen gegen das DDR-Regime.;Am ersten Montag im Monat trafen sich in der Bundesrepublik Deutschland Demonstranten.;Montags demonstrierte man in der DDR gegen den Westen.;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date\
207;In welchem Milit\'e4rb\'fcndnis war die DDR Mitglied?;in der NATO;im Rheinbund;im Warschauer Pakt;im Europab\'fcndnis;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
208;Was war die \'84Stasi\'93?;der Geheimdienst im \'84Dritten Reich\'93;eine ber\'fchmte deutsche Gedenkst\'e4tte;der Geheimdienst der DDR;ein deutscher Sportverein w\'e4hrend des Zweiten Weltkrieges;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
209;Welches war das Wappen der Deutschen Demokratischen Republik?;1;2;3;4;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_209;image\
210;Was ereignete sich am 17. Juni 1953 in der DDR?;der feierliche Beitritt zum Warschauer Pakt;landesweite Streiks und ein Volksaufstand;der 1. SED-Parteitag;der erste Besuch Fidel Castros;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult\
211;Welcher Politiker steht f\'fcr die \'84Ostvertr\'e4ge\'93?;Helmut Kohl;Willy Brandt;Michail Gorbatschow;Ludwig Erhard;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person\
212;Wie hei\'dft Deutschland mit vollem Namen?;Bundesstaat Deutschland;Bundesl\'e4nder Deutschland;Bundesrepublik Deutschland;Bundesbezirk Deutschland;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;\
213;Wie viele Einwohner hat Deutschland?;70 Millionen;78 Millionen;80 Millionen;90 Millionen;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
214;Welche Farben hat die deutsche Flagge?;schwarz-rot-gold;rot-wei\'df-schwarz;schwarz-rot-gr\'fcn;schwarz-gelb-rot;a;politik;Politik in der Demokratie;Staatssymbole;-;\
215;Wer wird als \'84Kanzler der Deutschen Einheit\'93 bezeichnet?;Gerhard Schr\'f6der;Helmut Kohl;Konrad Adenauer;Helmut Schmidt;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person\
216;Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?;die Fahne der Stadt Berlin.;der Bundesadler.;der Reichsadler.;die Reichskrone.;b;politik;Politik in der Demokratie;Staatssymbole;frage_216;image\
217;In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?;1919 bis 1927;1933 bis 1945;1949 bis 1990;1945 bis 1961;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date\
218;Wie viele Bundesl\'e4nder kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?;4;5;6;7;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date\
219;Die Bundesrepublik Deutschland hat die Grenzen von heute seit ...;1933.;1949.;1971.;1990.;d;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date\
220;Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?;an das Ende des Zweiten Weltkrieges;an die Verabschiedung des Grundgesetzes;an die Wiedervereinigung Deutschlands;an die Opfer des Nationalsozialismus;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date,difficult\
221;Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?;Deutsche k\'f6nnen in viele L\'e4nder Europas ohne Passkontrolle reisen.;Alle Menschen k\'f6nnen ohne Personenkontrolle in Deutschland einreisen.;Deutsche k\'f6nnen ohne Passkontrolle in jedes Land reisen.;Deutsche k\'f6nnen in jedem Land mit dem Euro bezahlen.;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
222;Welches Land ist ein Nachbarland von Deutschland?;Ungarn;Portugal;Spanien;Schweiz;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
223;Welches Land ist ein Nachbarland von Deutschland?;Rum\'e4nien;Bulgarien;Polen;Griechenland;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
224;Was bedeutet die Abk\'fcrzung EU?;Europ\'e4ische Unternehmen;Europ\'e4ische Union;Einheitliche Union;Euro Union;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
225;In welchem anderen Land gibt es eine gro\'dfe deutschsprachige Bev\'f6lkerung?;Tschechien;Norwegen;Spanien;\'d6sterreich;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
226;Welche ist die Flagge der Europ\'e4ischen Union?;2;1;4;3;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;frage_226;image\
227;Welches Land ist ein Nachbarland von Deutschland?;Finnland;D\'e4nemark;Norwegen;Schweden;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
228;Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?;NATO-Osterweiterung;EU-Osterweiterung;Europ\'e4ische Gemeinschaft;Deutsche Wiedervereinigung;d;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date,difficult\
229;Welches Land ist ein Nachbarland von Deutschland?;Spanien;Bulgarien;Norwegen;Luxemburg;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
230;Das Europ\'e4ische Parlament wird regelm\'e4\'dfig gew\'e4hlt, n\'e4mlich alle ...;5 Jahre.;6 Jahre.;7 Jahre.;8 Jahre.;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
231;Was bedeutet der Begriff \'84europ\'e4ische Integration\'93?;Damit sind amerikanische Einwanderer in Europa gemeint.;Der Begriff meint den Einwanderungsstopp nach Europa.;Damit sind europ\'e4ische Auswanderer in den USA gemeint.;Der Begriff meint den Zusammenschluss europ\'e4ischer Staaten zur EU.;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
232;Wer wird bei der Europawahl gew\'e4hlt?;die Europ\'e4ische Kommission;die L\'e4nder, die in die EU eintreten d\'fcrfen;die europ\'e4ische Verfassung;die Abgeordneten des Europ\'e4ischen Parlaments;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;difficult\
233;Welches Land ist ein Nachbarland von Deutschland?;Tschechien;Bulgarien;Griechenland;Portugal;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
234;Wo ist der Sitz des Europ\'e4ischen Parlaments?;London;Paris;Berlin;Stra\'dfburg;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
235;Der franz\'f6sische Staatspr\'e4sident Fran\'e7ois Mitterrand und der deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europ\'e4ischen Union wird bei diesem Treffen deutlich?;Freundschaft zwischen England und Deutschland;Reisefreiheit in alle L\'e4nder der EU;Frieden und Sicherheit in den L\'e4ndern der EU;einheitliche Feiertage in den L\'e4ndern der EU;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;frage_235;image,person\
236;Wie viele Mitgliedstaaten hat die EU heute?;21;23;25;27;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
237;2007 wurde das 50-j\'e4hrige Jubil\'e4um der \'84R\'f6mischen Vertr\'e4ge\'93 gefeiert. Was war der Inhalt der Vertr\'e4ge?;Beitritt Deutschlands zur NATO;Gr\'fcndung der Europ\'e4ischen Wirtschaftsgemeinschaft (EWG);Verpflichtung Deutschlands zu Reparationsleistungen;Festlegung der Oder-Nei\'dfe-Linie als Ostgrenze;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;date\
238;An welchen Orten arbeitet das Europ\'e4ische Parlament?;Paris, London und Den Haag;Stra\'dfburg, Luxemburg und Br\'fcssel;Rom, Bern und Wien;Bonn, Z\'fcrich und Mailand;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
239;Durch welche Vertr\'e4ge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europ\'e4ischen Wirtschaftsgemeinschaft zusammen?;durch die \'84Hamburger Vertr\'e4ge\'93;durch die \'84R\'f6mischen Vertr\'e4ge\'93;durch die \'84Pariser Vertr\'e4ge\'93;durch die \'84Londoner Vertr\'e4ge\'93;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;\
240;Seit wann bezahlt man in Deutschland mit dem Euro in bar?;1995;1998;2002;2005;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;date\
241;Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?;Sie muss an ihre Krankenkasse schreiben.;Sie muss nichts tun, denn sie bekommt automatisch Elterngeld.;Sie muss einen Antrag bei der Elterngeldstelle stellen.;Sie muss das Arbeitsamt um Erlaubnis bitten.;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
242;Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?;der Staat;die Bundesl\'e4nder;die Eltern / die Erziehungsberechtigten;die Schulen;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
243;Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Stra\'dfe abhalten. Was m\'fcssen sie vorher tun?;Sie m\'fcssen nichts tun. Man darf in Deutschland jederzeit \'fcberall demonstrieren.;Sie m\'fcssen die Demonstration anmelden.;Sie k\'f6nnen gar nichts tun, denn Demonstrationen sind in Deutschland grunds\'e4tzlich verboten.;Maik und Sybille m\'fcssen einen neuen Verein gr\'fcnden, weil nur Vereine demonstrieren d\'fcrfen.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
244;Welchen Schulabschluss braucht man normalerweise, um an einer Universit\'e4t in Deutschland ein Studium zu beginnen?;das Abitur;ein Diplom;die Prokura;eine Gesellenpr\'fcfung;a;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
245;Wer darf in Deutschland nicht als Paar zusammenleben?;Hans (20 Jahre) und Marie (19 Jahre);Tom (20 Jahre) und Klaus (45 Jahre);Sofie (35 Jahre) und Lisa (40 Jahre);Anne (13 Jahre) und Tim (25 Jahre);d;politik;Politik in der Demokratie;Recht und Alltag;-;\
246;Ab welchem Alter ist man in Deutschland vollj\'e4hrig?;16;18;19;21;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
247;Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders besch\'fctzt. Wie hei\'dft dieser Schutz?;Elternzeit;Geburtsvorbereitung;Mutterschutz;Wochenbett;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
248;Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe ...;des Staates.;der Eltern.;der Gro\'dfeltern.;der Schulen.;b;politik;Politik in der Demokratie;Pflichten;-;\
249;Wer ist in Deutschland haupts\'e4chlich verantwortlich f\'fcr die Kindererziehung?;der Staat;die Eltern;die Verwandten;die Schulen;b;politik;Politik in der Demokratie;Pflichten;-;\
250;In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man ...;katholisch ist.;gut ausgebildet ist.;eine Frau ist.;Mitglied einer Partei ist.;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
251;Wenn man in Deutschland ein Kind schl\'e4gt, ...;geht das niemanden etwas an.;geht das nur die Familie etwas an.;kann man daf\'fcr nicht bestraft werden.;kann man daf\'fcr bestraft werden.;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
252;In Deutschland ...;darf man zur gleichen Zeit nur mit einem Partner / einer Partnerin verheiratet sein.;kann man mehrere Ehepartner / Ehepartnerinnen gleichzeitig haben.;darf man nicht wieder heiraten, wenn man einmal verheiratet war.;darf eine Frau nicht wieder heiraten, wenn ihr Mann gestorben ist.;a;politik;Politik in der Demokratie;Recht und Alltag;-;\
253;Wo m\'fcssen Sie sich anmelden, wenn Sie in Deutschland umziehen?;beim Einwohnermeldeamt;beim Standesamt;beim Ordnungsamt;beim Gewerbeamt;a;politik;Politik in der Demokratie;Kommune;-;\
254;In Deutschland d\'fcrfen Ehepaare sich scheiden lassen. Meistens m\'fcssen sie dazu das \'84Trennungsjahr\'93 einhalten. Was bedeutet das?;Der Scheidungsprozess dauert ein Jahr.;Mann und Frau sind ein Jahr verheiratet, dann ist die Scheidung m\'f6glich.;Das Besuchsrecht f\'fcr die Kinder gilt ein Jahr.;Mann und Frau f\'fchren mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung m\'f6glich.;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
255;Bei Erziehungsproblemen k\'f6nnen Eltern in Deutschland Hilfe erhalten vom ...;Ordnungsamt.;Schulamt.;Jugendamt.;Gesundheitsamt.;c;politik;Politik in der Demokratie;Kommune;-;\
256;Ein Ehepaar m\'f6chte in Deutschland ein Restaurant er\'f6ffnen. Was braucht es dazu unbedingt?;eine Erlaubnis der Polizei;eine Genehmigung einer Partei;eine Genehmigung des Einwohnermeldeamts;eine Gastst\'e4ttenerlaubnis von der zust\'e4ndigen Beh\'f6rde;d;politik;Politik in der Demokratie;Kommune;-;\
257;Eine erwachsene Frau m\'f6chte in Deutschland das Abitur nachholen. Das kann sie an ...;einer Hochschule.;einem Abendgymnasium.;einer Hauptschule.;einer Privatuniversit\'e4t.;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
258;Was darf das Jugendamt in Deutschland?;Es entscheidet, welche Schule das Kind besucht.;Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.;Es bezahlt das Kindergeld an die Eltern.;Es kontrolliert, ob das Kind einen Kindergarten besucht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
259;Das Berufsinformationszentrum BIZ bei der Bundesagentur f\'fcr Arbeit in Deutschland hilft bei der ...;Rentenberechnung.;Lehrstellensuche.;Steuererkl\'e4rung.;Krankenversicherung.;b;politik;Politik in der Demokratie;Kommune;-;\
260;In Deutschland hat ein Kind in der Schule ...;Recht auf unbegrenzte Freizeit.;Wahlfreiheit f\'fcr alle F\'e4cher.;Anspruch auf Schulgeld.;Anwesenheitspflicht.;d;politik;Politik in der Demokratie;Pflichten;-;\
261;Ein Mann m\'f6chte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An ...;einer Hochschule;einem Abendgymnasium;einer Hauptschule;einer Privatuniversit\'e4t;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
262;Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?;Niemand darf z.B. wegen einer Behinderung benachteiligt werden.;Man darf andere Personen benachteiligen, wenn ausreichende pers\'f6nliche Gr\'fcnde hierf\'fcr vorliegen.;Niemand darf gegen Personen klagen, wenn sie benachteiligt wurden.;Es ist f\'fcr alle Gesetz, benachteiligten Gruppen j\'e4hrlich Geld zu spenden.;a;politik;Politik in der Demokratie;Grundrechte;-;\
263;In Deutschland sind Jugendliche ab 14 Jahren strafm\'fcndig. Das bedeutet: Jugendliche, die 14 Jahre und \'e4lter sind und gegen Strafgesetze versto\'dfen, ...;werden bestraft.;werden wie Erwachsene behandelt.;teilen die Strafe mit ihren Eltern.;werden nicht bestraft.;a;politik;Politik in der Demokratie;Recht und Alltag;-;\
264;Zu welchem Fest tragen Menschen in Deutschland bunte Kost\'fcme und Masken?;am Rosenmontag;am Maifeiertag;beim Oktoberfest;an Pfingsten;a;gesellschaft;Mensch und Gesellschaft;Interkulturelles Zusammenleben;-;\
265;Wohin muss man in Deutschland zuerst gehen, wenn man heiraten m\'f6chte?;zum Einwohnermeldeamt;zum Ordnungsamt;zur Agentur f\'fcr Arbeit;zum Standesamt;d;politik;Politik in der Demokratie;Kommune;-;\
266;Wann beginnt die gesetzliche Nachtruhe in Deutschland?;wenn die Sonne untergeht;um 22 Uhr;wenn die Nachbarn schlafen gehen;um 0 Uhr, Mitternacht;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
267;Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gef\'e4llt. Was k\'f6nnen die Eltern tun?;Sie m\'fcssen die Entscheidung der vollj\'e4hrigen Tochter respektieren.;Sie haben das Recht, die Tochter in die elterliche Wohnung zur\'fcckzuholen.;Sie k\'f6nnen zur Polizei gehen und die Tochter anzeigen.;Sie suchen einen anderen Mann f\'fcr die Tochter.;a;politik;Politik in der Demokratie;Recht und Alltag;-;\
268;Eine junge Frau will den F\'fchrerschein machen. Sie hat Angst vor der Pr\'fcfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?;Sie muss mindestens zehn Jahre in Deutschland leben, bevor sie den F\'fchrerschein machen kann.;Sie kann die Theorie-Pr\'fcfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.;Wenn sie kein Deutsch kann, darf sie keinen F\'fchrerschein haben.;Sie muss den F\'fchrerschein in dem Land machen, in dem man ihre Sprache spricht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
269;In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf ...;monatliches Taschengeld.;einen Kindergartenplatz.;einen Platz in einem Sportverein.;einen Ferienpass.;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
270;Die Volkshochschule in Deutschland ist eine Einrichtung ...;f\'fcr den Religionsunterricht.;nur f\'fcr Jugendliche.;zur Weiterbildung.;nur f\'fcr Rentner und Rentnerinnen.;c;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
271;Was ist in Deutschland ein Brauch zu Weihnachten?;bunte Eier verstecken;einen Tannenbaum schm\'fccken;sich mit Masken und Kost\'fcmen verkleiden;K\'fcrbisse vor die T\'fcr stellen;b;gesellschaft;Mensch und Gesellschaft;Interkulturelles Zusammenleben;-;\
272;Welche Lebensform ist in Deutschland nicht erlaubt?;Mann und Frau sind geschieden und leben mit neuen Partnern zusammen.;Zwei Frauen leben zusammen.;Ein alleinerziehender Vater lebt mit seinen zwei Kindern zusammen.;Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
273;Bei Erziehungsproblemen gehen Sie in Deutschland ...;zum Arzt / zur \'c4rztin.;zum Gesundheitsamt.;zum Einwohnermeldeamt.;zum Jugendamt.;d;politik;Politik in der Demokratie;Kommune;-;\
274;Sie haben in Deutschland absichtlich einen Brief ge\'f6ffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?;das Schweigerecht;das Briefgeheimnis;die Schweigepflicht;die Meinungsfreiheit;b;politik;Politik in der Demokratie;Grundrechte;-;\
275;Was braucht man in Deutschland f\'fcr eine Ehescheidung?;die Einwilligung der Eltern;ein Attest eines Arztes / einer \'c4rztin;die Einwilligung der Kinder;die Unterst\'fctzung eines Anwalts / einer Anw\'e4ltin;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
276;Was sollten Sie tun, wenn Sie von Ihrem Ansprechpartner / Ihrer Ansprechpartnerin in einer deutschen Beh\'f6rde schlecht behandelt werden?;Ich kann nichts tun.;Ich muss mir diese Behandlung gefallen lassen.;Ich drohe der Person.;Ich kann mich beim Beh\'f6rdenleiter / bei der Beh\'f6rdenleiterin beschweren.;d;politik;Politik in der Demokratie;Recht und Alltag;-;\
277;Eine Frau, die ein zweij\'e4hriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel f\'fcr Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie ...;kein Englisch spricht.;zu hohe Gehaltsvorstellungen hat.;keine Erfahrungen in diesem Beruf hat.;Mutter ist.;d;politik;Politik in der Demokratie;Grundrechte;-;\
278;Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel f\'fcr Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er ...;im Rollstuhl sitzt.;keine Erfahrung hat.;zu hohe Gehaltsvorstellungen hat.;kein Englisch spricht.;a;politik;Politik in der Demokratie;Grundrechte;-;\
279;In den meisten Mietsh\'e4usern in Deutschland gibt es eine \'84Hausordnung\'93. Was steht in einer solchen \'84Hausordnung\'93? Sie nennt ...;Regeln f\'fcr die Benutzung \'f6ffentlicher Verkehrsmittel.;alle Mieter und Mieterinnen im Haus.;Regeln, an die sich alle Bewohner und Bewohnerinnen halten m\'fcssen.;die Adresse des n\'e4chsten Ordnungsamtes.;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
280;Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, m\'fcssen Sie ...;nichts machen.;den Bescheid wegwerfen.;Einspruch einlegen.;warten, bis ein anderer Bescheid kommt.;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
281;Zwei Freunde wollen in ein \'f6ffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf ...;Meinungsfreiheit;Gleichbehandlung;Versammlungsfreiheit;Freiz\'fcgigkeit;b;politik;Politik in der Demokratie;Grundrechte;-;\
282;Welches Ehrenamt m\'fcssen deutsche Staatsb\'fcrger / Staatsb\'fcrgerinnen \'fcbernehmen, wenn sie dazu aufgefordert werden?;Vereinstrainer / Vereinstrainerin;Bibliotheksaufsicht;Wahlhelfer / Wahlhelferin;Lehrer / Lehrerin;c;politik;Politik in der Demokratie;Pflichten;-;\
283;Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Beh\'f6rde bekommen?;Ich lasse die Rechnung liegen.;Ich lege Widerspruch bei der Beh\'f6rde ein.;Ich schicke die Rechnung an die Beh\'f6rde zur\'fcck.;Ich gehe mit der Rechnung zum Finanzamt.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
284;Was man f\'fcr die Arbeit k\'f6nnen muss, \'e4ndert sich in Zukunft sehr schnell. Was kann man tun?;Es ist egal, was man lernt.;Kinder lernen in der Schule alles, was im Beruf wichtig ist. Nach der Schule muss man nicht weiter lernen.;Erwachsene m\'fcssen auch nach der Ausbildung immer weiter lernen.;Alle m\'fcssen fr\'fcher aufh\'f6ren zu arbeiten, weil sich alles \'e4ndert.;c;gesellschaft;Mensch und Gesellschaft;Bildung;-;\
285;Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem B\'fcro. Was muss sie nicht von ihrem Gehalt bezahlen?;Umsatzsteuer;Lohnsteuer;Beitr\'e4ge zur Arbeitslosenversicherung;Beitr\'e4ge zur Renten- und Krankenversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;\
286;Welche Organisation in einer Firma hilft den Arbeitnehmern und Arbeitnehmerinnen bei Problemen mit dem Arbeitgeber / der Arbeitgeberin?;der Betriebsrat;der Betriebspr\'fcfer / die Betriebspr\'fcferin;die Betriebsgruppe;das Betriebsmanagement;a;politik;Politik in der Demokratie;Recht und Alltag;-;\
287;Sie m\'f6chten bei einer Firma in Deutschland Ihr Arbeitsverh\'e4ltnis beenden. Was m\'fcssen Sie beachten?;die Gehaltszahlungen;die Arbeitszeit;die K\'fcndigungsfrist;die Versicherungspflicht;c;politik;Politik in der Demokratie;Recht und Alltag;-;\
288;Bei welchem Amt muss man in Deutschland in der Regel seinen Hund anmelden?;beim Finanzamt;beim Einwohnermeldeamt;bei der Kommune (Stadt oder Gemeinde);beim Gesundheitsamt;c;politik;Politik in der Demokratie;Kommune;-;\
289;Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel f\'fcr Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil ...;seine Deutschkenntnisse zu gering sind.;er zu hohe Gehaltsvorstellungen hat.;er eine dunkle Haut hat.;er keine Erfahrungen im Beruf hat.;c;politik;Politik in der Demokratie;Grundrechte;-;\
290;Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was k\'f6nnen Sie machen?;eine Anzeige schreiben;den Fernseher reklamieren;das Ger\'e4t ungefragt austauschen;die Garantie verl\'e4ngern;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
